title,company,location,how_old,link_job
Desenvolvedor(a) Back-end Ruby Pleno,Zygo,"Florianópolis, SC",Hoje,https://br.indeed.com/rc/clk?jk=f8af82df8be6f988&fccid=f0a50e88aa50fe22&vjs=3
Cloud Engineer Jr - São José dos Campos,Oportunidades Gobetti RH,"São José dos Campos, SP",há 6 dias,https://br.indeed.com/rc/clk?jk=ebd1d50d53bf3f2b&fccid=5aabc083e6b8a70a&vjs=3
Estágio em Website Operations,Quero Educação,"São José dos Campos, SP",há 27 dias,https://br.indeed.com/rc/clk?jk=ef059930978d2cfa&fccid=4c10b03c51662982&vjs=3
Programador Full Stack Ruby (Remoto) – Remotamente – RN - BV,Buscar Vagas,"Natal, RN",há 1 dia,https://br.indeed.com/rc/clk?jk=b9c501fddd15baef&fccid=cd25ed76f1946ad0&vjs=3
Desenvolvedor(a) Full Stack - Ruby Júnior,Zygo,"Florianópolis, SC",há 6 dias,https://br.indeed.com/rc/clk?jk=870bcedd31d371d0&fccid=f0a50e88aa50fe22&vjs=3
Pessoa Desenvolvedora de Software (Ruby),Liber Capital,"São Carlos, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=8ce113064c0dc6cc&fccid=1a2fb53435c12483&vjs=3
Desenvolvedor Backend Ruby - Sênior/Especialista (Remoto),Blu,"Rio de Janeiro, RJ",há 4 dias,https://br.indeed.com/rc/clk?jk=6ae49c92c479f308&fccid=641ef99ce9e55e35&vjs=3
Desenvolvedor(a) Ruby Backend Pleno,BDR Talentos Corporativos,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=88d2bf6f88b2ce5f&fccid=09380d595581f729&vjs=3
Desenvolvedor Full Stack Pleno - São José dos Campos,Oportunidades Gobetti RH,"São José dos Campos, SP",há 2 dias,https://br.indeed.com/rc/clk?jk=a6db2ce15eec7b93&fccid=5aabc083e6b8a70a&vjs=3
Desenvolvedor Backend - Ruby On Rails,Delivery Center,"São Paulo, SP",há 14 dias,https://br.indeed.com/rc/clk?jk=2a83e5444c983adc&fccid=042834906eac0956&vjs=3
Senior Ruby Developer,Madiff,"Liberdade, SP",há 18 dias,https://br.indeed.com/rc/clk?jk=fd41401735c6c6f4&fccid=701ab9c2481eb566&vjs=3
SysAdmin,Configr,"Brasília, DF",há 16 dias,https://br.indeed.com/rc/clk?jk=a0c28c5e94e720ab&fccid=34a836963c512eb5&vjs=3
Senior Ruby Developer,Dextra,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4f6f9e8c64f2cdc3&fccid=f11cf1a9f70181d8&vjs=3
Desenvolvedor (a) Sênior - Ruby on Rails,Tray,"Marília, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a5a8359fcc7f2759&fccid=dcaee2dd6fcf2084&vjs=3
"Java Developer - Remote, Full Time",FullStack Labs,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=fcceca09e71ea37c&fccid=9c6c0fa81112149a&vjs=3
Pessoa Engenheira de Dados (Ruby ou Java),RD Station,"Florianópolis, SC",há 11 dias,https://br.indeed.com/rc/clk?jk=7021c9b7e4c583c1&fccid=943c4ec34e54e91b&vjs=3
Full Stack Engineer,AlphaSights Ltd.,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=885f34e4e53011c7&fccid=915837b22fb3a5f0&vjs=3
Senior DevOps - Malta or Remote,JobMatchingPartner,Mato Grosso,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ec7c343ae32a8a8f&fccid=740427ab9cdfe104&vjs=3
Engenheiro de Software I,CERC,Remoto,há 3 dias,https://br.indeed.com/rc/clk?jk=726769ca61546d9f&fccid=916536e9ef6b0922&vjs=3
Ruby Senior Software Engineer,Daki,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=b751f1f984410a81&fccid=062d6ac21fb5fa3c&vjs=3
Team Leader QA,ViaVarejo,"São Caetano do Sul, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4f002150babba851&fccid=7d163c3b66f5e287&vjs=3
"Senior Software Developer, International",RD Station,"Florianópolis, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=c068c6587e3792a5&fccid=943c4ec34e54e91b&vjs=3
QA,Zup Innovation,Remoto,há 3 dias,https://br.indeed.com/rc/clk?jk=ce0ceca0fc83f95c&fccid=286575ef2237b3c9&vjs=3
Ruby on Rails Developer,Pulsus,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e5a4e7ba4794b585&fccid=4f6b2ba667bb2543&vjs=3
ANALISTA QA AUTOMAÇÃO,Grupo FCamara,"Butantã, SP",há 6 dias,https://br.indeed.com/rc/clk?jk=4790cd0d0f249dc2&fccid=c4937ec65ff6c5bd&vjs=3
Full-Stack Software Developer,HP,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=cde6b918d04249af&fccid=1b866506aec22461&vjs=3
Desenvolvedor de Web Full-Stack,MOV,"Balneário Camboriú, SC",há 3 dias,https://br.indeed.com/rc/clk?jk=894754fde9ebe5ae&fccid=4e9af8af7a1db50d&vjs=3
Desenvolvedor Ruby on Rails SR,Share RH,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=1bf5290b4404d28a&fccid=a348a1a87f84f063&vjs=3
Ruby on Rails Developer,Sensor Tower,"Recife, PE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=0d53c1bca204b010&fccid=c659788ec6cc356e&vjs=3
Desenvolvedor(a) Backend Ruby,Softo,Remoto,há 10 dias,https://br.indeed.com/rc/clk?jk=4404d855c6cde419&fccid=5c49365ee80d3fbb&vjs=3
Desenvolvedor Ruby,Globant,"São Paulo, SP",há 21 dias,https://br.indeed.com/rc/clk?jk=7fff9f9037d25b69&fccid=34ea81fd9e91a411&vjs=3
Desenvolvedor(a) Ruby on Rails para empresa de relatórios,sig9.dev,Remoto,há 7 dias,https://br.indeed.com/rc/clk?jk=23f206347494221f&fccid=108c33e61eeb95c1&vjs=3
Vendedor sênior,SourceLevel,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=d9b36f74e1cb07ea&fccid=db73cdffc764793b&vjs=3
Desenvolvedor Backend Ruby,Grafeno,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=3a759febc4e84de3&fccid=b2df90628328d927&vjs=3
Pessoa Desenvolvedora Full-Stack Estágio - Remoto,V360,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=54171e835875e654&fccid=415aeffc7267b54f&vjs=3
